medal_type,medal_code,medal_date,athlete_name,event,country,discipline
Silver Medal,2,00:00.0,DMITRIEVA Daria,Women,ROC,Handball
Silver Medal,2,00:00.0,ILINA Ekaterina,Women,ROC,Handball
Silver Medal,2,00:00.0,KALININA Viktoriia,Women,ROC,Handball
Silver Medal,2,00:00.0,KUZNETSOVA Polina,Women,ROC,Handball
Silver Medal,2,00:00.0,MAKEEVA Kseniia,Women,ROC,Handball
Silver Medal,2,00:00.0,MANAGAROVA Iuliia,Women,ROC,Handball
Silver Medal,2,00:00.0,MIKHAYLICHENKO Elena,Women,ROC,Handball
Silver Medal,2,00:00.0,SEDOYKINA Anna,Women,ROC,Handball
Silver Medal,2,00:00.0,SEN Anna,Women,ROC,Handball
Silver Medal,2,00:00.0,SKOROBOGATCHENKO Antonina,Women,ROC,Handball
Silver Medal,2,00:00.0,FOMINA Olga,Women,ROC,Handball
Bronze Medal,3,00:00.0,TOMAC Marta,Women,Norway,Handball
Bronze Medal,3,00:00.0,JACOBSEN Marit,Women,Norway,Handball
Bronze Medal,3,00:00.0,MOERK Nora,Women,Norway,Handball
Bronze Medal,3,00:00.0,REISTAD Henny,Women,Norway,Handball
Bronze Medal,3,00:00.0,KRISTIANSEN Veronica,Women,Norway,Handball
Bronze Medal,3,00:00.0,SKOGRAND Stine,Women,Norway,Handball
Bronze Medal,3,00:00.0,LUNDE Katrine,Women,Norway,Handball
Bronze Medal,3,00:00.0,JOHANSEN Vilde Ingeborg,Women,Norway,Handball
Bronze Medal,3,00:00.0,BREISTOEL Kristine,Women,Norway,Handball
Bronze Medal,3,00:00.0,FRAFJORD Marit Malm,Women,Norway,Handball
Bronze Medal,3,00:00.0,BRATTSET DALE Kari,Women,Norway,Handball
Bronze Medal,3,00:00.0,BREDAL OFTEDAL Stine,Women,Norway,Handball
Bronze Medal,3,00:00.0,SOLBERG ISAKSEN Sanna,Women,Norway,Handball
Bronze Medal,3,00:00.0,HERREM Camilla,Women,Norway,Handball
Bronze Medal,3,00:00.0,SOLBERG Silje,Women,Norway,Handball
Gold Medal,1,00:00.0,DYANKOVA Simona,Group All-Around,Bulgaria,Rhythmic Gymnastics
Gold Medal,1,00:00.0,RADUKANOVA Madlen,Group All-Around,Bulgaria,Rhythmic Gymnastics
Gold Medal,1,00:00.0,KIRYAKOVA Stefani,Group All-Around,Bulgaria,Rhythmic Gymnastics
Gold Medal,1,00:00.0,ZAFIROVA Erika,Group All-Around,Bulgaria,Rhythmic Gymnastics
Gold Medal,1,00:00.0,TRAETS Laura,Group All-Around,Bulgaria,Rhythmic Gymnastics
Silver Medal,2,00:00.0,BLIZNYUK Anastasia,Group All-Around,ROC,Rhythmic Gymnastics
Silver Medal,2,00:00.0,SHKATOVA Angelina,Group All-Around,ROC,Rhythmic Gymnastics
Silver Medal,2,00:00.0,TISHCHENKO Alisa,Group All-Around,ROC,Rhythmic Gymnastics
Silver Medal,2,00:00.0,MAKSIMOVA Anastasiia,Group All-Around,ROC,Rhythmic Gymnastics
Silver Medal,2,00:00.0,TATAREVA Anastasiia,Group All-Around,ROC,Rhythmic Gymnastics
Bronze Medal,3,00:00.0,MAURELLI Alessia,Group All-Around,Italy,Rhythmic Gymnastics
Bronze Medal,3,00:00.0,CENTOFANTI Martina,Group All-Around,Italy,Rhythmic Gymnastics
Bronze Medal,3,00:00.0,SANTANDREA Martina,Group All-Around,Italy,Rhythmic Gymnastics
Bronze Medal,3,00:00.0,DURANTI Agnese,Group All-Around,Italy,Rhythmic Gymnastics
Bronze Medal,3,00:00.0,MOGUREAN Daniela,Group All-Around,Italy,Rhythmic Gymnastics
Gold Medal,1,00:00.0,DREWS Andrea,Women,United States of America,Volleyball
Gold Medal,1,00:00.0,OGBOGU Chiaka,Women,United States of America,Volleyball
Gold Medal,1,00:00.0,AKINRADEWO Foluke,Women,United States of America,Volleyball
Gold Medal,1,00:00.0,WASHINGTON Haleigh,Women,United States of America,Volleyball
Gold Medal,1,00:00.0,LARSON Jordan,Women,United States of America,Volleyball
Gold Medal,1,00:00.0,WONG-ORANTES Justine,Women,United States of America,Volleyball
Gold Medal,1,00:00.0,HILL Kimberly,Women,United States of America,Volleyball
Gold Medal,1,00:00.0,ROBINSON Kelsey,Women,United States of America,Volleyball
Gold Medal,1,00:00.0,BARTSCH-HACKLEY Michelle,Women,United States of America,Volleyball
Gold Medal,1,00:00.0,HANCOCK Micha,Women,United States of America,Volleyball
Gold Medal,1,00:00.0,POULTER Jordyn,Women,United States of America,Volleyball
Gold Medal,1,00:00.0,THOMPSON Jordan,Women,United States of America,Volleyball
Silver Medal,2,00:00.0,CORREA Ana Beatriz,Women,Brazil,Volleyball
Silver Medal,2,00:00.0,da SILVA Ana Carolina,Women,Brazil,Volleyball
Silver Medal,2,00:00.0,MENEZES OLIVEIRA de SOUZA Ana Cris.,Women,Brazil,Volleyball
Silver Medal,2,00:00.0,BRAIT Camila,Women,Brazil,Volleyball
Silver Medal,2,00:00.0,de OLIVEIRA SAAD GATTAZ Caroline,Women,Brazil,Volleyball
Silver Medal,2,00:00.0,RODRIGUES Fernanda,Women,Brazil,Volleyball
Silver Medal,2,00:00.0,BRAGA GUIMARAES Gabriela,Women,Brazil,Volleyball
Silver Medal,2,00:00.0,SILVA CARNEIRO Macris Fernanda,Women,Brazil,Volleyball
Silver Medal,2,00:00.0,PEREIRA Natalia,Women,Brazil,Volleyball
Silver Medal,2,00:00.0,MONTIBELLER Rosamaria,Women,Brazil,Volleyball
Silver Medal,2,00:00.0,RATZKE Roberta Silva,Women,Brazil,Volleyball
Silver Medal,2,00:00.0,CAIXETA Tandara,Women,Brazil,Volleyball
Bronze Medal,3,00:00.0,BJELICA Ana,Women,Serbia,Volleyball
Bronze Medal,3,00:00.0,BUSA Bianka,Women,Serbia,Volleyball
Bronze Medal,3,00:00.0,MILENKOVIC Bojana,Women,Serbia,Volleyball
Bronze Medal,3,00:00.0,MIHAJLOVIC Brankica,Women,Serbia,Volleyball
Bronze Medal,3,00:00.0,BLAGOJEVIC Jelena,Women,Serbia,Volleyball
Bronze Medal,3,00:00.0,ALEKSIC Maja,Women,Serbia,Volleyball
Bronze Medal,3,00:00.0,OGNJENOVIC Maja,Women,Serbia,Volleyball
Bronze Medal,3,00:00.0,RASIC Milena,Women,Serbia,Volleyball
Bronze Medal,3,00:00.0,POPOVIC Mina,Women,Serbia,Volleyball
Bronze Medal,3,00:00.0,POPOVIC Silvija,Women,Serbia,Volleyball
Bronze Medal,3,00:00.0,MIRKOVIC Sladjana,Women,Serbia,Volleyball
Bronze Medal,3,00:00.0,BOSKOVIC Tijana,Women,Serbia,Volleyball
Gold Medal,1,00:00.0,ALEKSIC Milan,Men,Serbia,Water Polo
Gold Medal,1,00:00.0,DEDOVIC Nikola,Men,Serbia,Water Polo
Gold Medal,1,00:00.0,FILIPOVIC Filip,Men,Serbia,Water Polo
Gold Medal,1,00:00.0,JAKSIC Nikola,Men,Serbia,Water Polo
Gold Medal,1,00:00.0,LAZIC Dorde,Men,Serbia,Water Polo
Gold Medal,1,00:00.0,MANDIC Dusan,Men,Serbia,Water Polo
Gold Medal,1,00:00.0,MITROVIC Branislav,Men,Serbia,Water Polo
Gold Medal,1,00:00.0,MITROVIC Stefan,Men,Serbia,Water Polo
Gold Medal,1,00:00.0,PIJETLOVIC Dusko,Men,Serbia,Water Polo
Gold Medal,1,00:00.0,PIJETLOVIC Gojko,Men,Serbia,Water Polo
Gold Medal,1,00:00.0,PRLAINOVIC Andrija,Men,Serbia,Water Polo
Gold Medal,1,00:00.0,RANDELOVIC Sava,Men,Serbia,Water Polo
Gold Medal,1,00:00.0,RASOVIC Strahinja,Men,Serbia,Water Polo
Silver Medal,2,00:00.0,ARGYROPOULOS KANAKAKIS Stylianos,Men,Greece,Water Polo
Silver Medal,2,00:00.0,DERVISIS Georgios,Men,Greece,Water Polo
Silver Medal,2,00:00.0,FOUNTOULIS Ioannis,Men,Greece,Water Polo
Silver Medal,2,00:00.0,GALANIDIS Konstantinos,Men,Greece,Water Polo
Silver Medal,2,00:00.0,GENIDOUNIAS Konstantinos,Men,Greece,Water Polo
Silver Medal,2,00:00.0,KAPOTSIS Marios,Men,Greece,Water Polo
Silver Medal,2,00:00.0,KOLOMVOS Christodoulos,Men,Greece,Water Polo
Silver Medal,2,00:00.0,MOURIKIS Konstantinos,Men,Greece,Water Polo
Silver Medal,2,00:00.0,PAPANASTASIOU Alexandros,Men,Greece,Water Polo
Silver Medal,2,00:00.0,SKOUMPAKIS Dimitrios,Men,Greece,Water Polo
Silver Medal,2,00:00.0,VLACHOPOULOS Angelos,Men,Greece,Water Polo
Silver Medal,2,00:00.0,ZERDEVAS Emmanouil,Men,Greece,Water Polo
Silver Medal,2,00:00.0,GKIOUVETSIS Konstantinos,Men,Greece,Water Polo
Bronze Medal,3,00:00.0,PASZTOR Matyas,Men,Hungary,Water Polo
Bronze Medal,3,00:00.0,ANGYAL Daniel,Men,Hungary,Water Polo
Bronze Medal,3,00:00.0,ERDELYI Balazs,Men,Hungary,Water Polo
Bronze Medal,3,00:00.0,HARAI Balazs,Men,Hungary,Water Polo
Bronze Medal,3,00:00.0,HOSNYANSZKY Norbert,Men,Hungary,Water Polo
Bronze Medal,3,00:00.0,JANSIK Szilard,Men,Hungary,Water Polo
Bronze Medal,3,00:00.0,MANHERCZ Krisztian,Men,Hungary,Water Polo
Bronze Medal,3,00:00.0,MEZEI Tamas,Men,Hungary,Water Polo
Bronze Medal,3,00:00.0,NAGY Viktor,Men,Hungary,Water Polo
Bronze Medal,3,00:00.0,VAMOS Marton,Men,Hungary,Water Polo
Bronze Medal,3,00:00.0,VARGA Denes,Men,Hungary,Water Polo
Bronze Medal,3,00:00.0,VOGEL Soma,Men,Hungary,Water Polo
Bronze Medal,3,00:00.0,ZALANKI Gergo,Men,Hungary,Water Polo
